Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
San Antonio Spurs,NBA,1977,2016,40,3232,2006,1226,.621,36,21,6,5
San Antonio Spurs,ABA,1974,1976,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,ABA,1971,1971,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1968,1973,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1996,2016,21,1674,734,940,.438,8,4,0,0
Utah Jazz,NBA,1975,2016,42,3396,1815,1581,.534,25,8,2,0
Utah Jazz,NBA,1980,2016,37,2986,1654,1332,.554,25,8,2,0
New Orleans Jazz,NBA,1975,1979,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1962,2016,55,4451,2004,2447,.450,27,7,4,1
Washington Wizards,NBA,1998,2016,19,1510,626,884,.415,6,0,0,0
Washington Bullets,NBA,1975,1997,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1974,1974,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1964,1973,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1963,1963,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1962,1962,1,80,18,62,.225,0,0,0,
