id, name, wikiloc, mendikat, altitude, active
10191,Erreniega,http://www.wikiloc.com/wikiloc/find.do?q=erreniega,/com/mount/1068,1036,1
10226,Pasopetón,http://www.wikiloc.com/wikiloc/find.do?q=pasopeton,/com/mount/1069,1300,1
9251,Oteros,http://www.wikiloc.com/wikiloc/find.do?q=oteros,/com/mount/107,1036,1
10099,Eskintza,http://www.wikiloc.com/wikiloc/find.do?q=eskintza,/com/mount/1070,740,1
10163,Etxauriko Haitzak,http://www.wikiloc.com/wikiloc/find.do?q=etxauriko+haitzak,/com/mount/1072,1136,1
10215,Ezkaurre,http://www.wikiloc.com/wikiloc/find.do?q=ezkaurre,/com/mount/1073,2045,1
10138,Ezkaurretxikia,http://www.wikiloc.com/wikiloc/find.do?q=ezkaurretxikia,/com/mount/1075,1763,1
10550,Gaztarrigaña / Mulidoia,http://www.wikiloc.com/wikiloc/find.do?q=gaztarrigana+/+mulidoia,/com/mount/1076,1729,1
10097,Gaztelu,http://www.wikiloc.com/wikiloc/find.do?q=gaztelu,/com/mount/1078,998,1
10270,Gerinda,http://www.wikiloc.com/wikiloc/find.do?q=gerinda,/com/mount/1079,886,1
9299,Pagogan,http://www.wikiloc.com/wikiloc/find.do?q=pagogan,/com/mount/108,1029,1
10143,Girizu,http://www.wikiloc.com/wikiloc/find.do?q=girizu,/com/mount/1080,1279,1
10113,Sanmigelbizkar,http://www.wikiloc.com/wikiloc/find.do?q=sanmigelbizkar,/com/mount/1081,832,1
10125,Esparatz,http://www.wikiloc.com/wikiloc/find.do?q=esparatz,/com/mount/1082,1022,1
10090,Goñiburu,http://www.wikiloc.com/wikiloc/find.do?q=goniburu,/com/mount/1083,1461,1
10243,Gorramendi,http://www.wikiloc.com/wikiloc/find.do?q=gorramendi,/com/mount/1084,1071,1
10045,Guratz,http://www.wikiloc.com/wikiloc/find.do?q=guratz,/com/mount/1085,956,1
10210,Hiru Erregeen Mahaia,http://www.wikiloc.com/wikiloc/find.do?q=hiru+erregeen+mahaia,/com/mount/1086,2446,1
9931,Ibanteli,http://www.wikiloc.com/wikiloc/find.do?q=ibanteli,/com/mount/1088,698,1
10179,Idokorri,http://www.wikiloc.com/wikiloc/find.do?q=idokorri,/com/mount/1089,1073,1
10039,Idorrokia,http://www.wikiloc.com/wikiloc/find.do?q=idorrokia,/com/mount/1090,1491,1
10183,Eguzkizko Muinoa,http://www.wikiloc.com/wikiloc/find.do?q=eguzkizko+muinoa,/com/mount/1091,1083,1
10144,Illon,http://www.wikiloc.com/wikiloc/find.do?q=illon,/com/mount/1092,1278,1
10212,Sollazbizkargaña / Intzako dorrea,http://www.wikiloc.com/wikiloc/find.do?q=sollazbizkargana+/+intzako+dorrea,/com/mount/1093,1430,1
9968,Iparla,http://www.wikiloc.com/wikiloc/find.do?q=iparla,/com/mount/1094,1049,1
10187,Ireber,http://www.wikiloc.com/wikiloc/find.do?q=ireber,/com/mount/1096,1208,1
10128,Ekoiengo Gaina,http://www.wikiloc.com/wikiloc/find.do?q=ekoiengo+gaina,/com/mount/1097,924,1
10158,Larrazpil,http://www.wikiloc.com/wikiloc/find.do?q=larrazpil,/com/mount/1098,1069,1
10081,Irulegi,http://www.wikiloc.com/wikiloc/find.do?q=irulegi,/com/mount/1099,893,1
9252,Aratz,http://www.wikiloc.com/wikiloc/find.do?q=aratz,/com/mount/11,1445,1
9250,Pagolar,http://www.wikiloc.com/wikiloc/find.do?q=pagolar,/com/mount/110,722,1
10042,Amiñagain / Lartzabal,http://www.wikiloc.com/wikiloc/find.do?q=aminagain+/+lartzabal,/com/mount/1100,771,1
10032,Arriurdiñeta,http://www.wikiloc.com/wikiloc/find.do?q=arriurdineta,/com/mount/1101,1059,1
10211,Itzaga,http://www.wikiloc.com/wikiloc/find.do?q=itzaga,/com/mount/1103,1360,1
10091,Isterbegi,http://www.wikiloc.com/wikiloc/find.do?q=isterbegi,/com/mount/1104,1026,1
10070,Izu,http://www.wikiloc.com/wikiloc/find.do?q=izu,/com/mount/1106,829,1
